bank,date,USD,EUR,JPY,AUD,HKD,SGD
BIDV,2022-03-16,23020,25785,198.21,16804,2967,17061
BIDV,2022-03-17,23015,25901,197.35,16991,2966,17124
BIDV,2022-03-18,23010,26043,197.31,17215,2967,17156
BIDV,2022-03-21,23010,25935,196.55,17203,2964,17139
BIDV,2022-03-22,23000,25776,194.6,17165,2962,17093
BIDV,2022-03-23,23015,25906,193.57,17330,2965,17112
BIDV,2022-03-24,23005,25782,192.87,17390,2964,17110
BIDV,2022-03-25,23010,25895,192.34,17507,2964,17134
BIDV,2022-03-28,23010,25733,190.39,17475,2963,17081
BIDV,2022-03-29,23010,25823,189.55,17428,2963,17071
BIDV,2022-03-30,23000,26095,192.51,17495,2962,17153
BIDV,2022-03-31,22975,26187,192.13,17365,2958,17141
BIDV,2022-04-01,22975,25922,191.22,17346,2956,17101
BIDV,2022-04-04,22985,25907,190.78,17451,2957,17104
BIDV,2022-04-05,23005,25754,191.17,17675,2961,17137
BIDV,2022-04-06,23005,25549,189.01,17590,2959,17073
BIDV,2022-04-07,23000,25640,189.4,17388,2958,17078
BIDV,2022-04-08,23000,25509,188.83,17379,2959,17045
BIDV,2022-04-11,23000,25509,188.83,17379,2959,17045
BIDV,2022-04-12,23015,25514,186.52,17260,2960,17011
BIDV,2022-04-13,23030,25450,186.44,17299,2962,17042
BIDV,2022-04-14,23035,25658,187.6,17359,2962,17202
BIDV,2022-04-15,23035,25404,185.83,17224,2961,17138
BIDV,2022-04-18,23060,25408,185.99,17136,2964,17113
BIDV,2022-04-19,23095,25470,183.79,17241,2968,17080
BIDV,2022-04-20,23120,25510,183.48,17323,2972,17078
BIDV,2022-04-21,23100,25660,184.29,17357,2969,17124
BIDV,2022-04-22,23105,25571,184.53,17108,2969,17108
BIDV,2022-04-25,23120,25300,183.89,16711,2970,16960
BIDV,2022-04-26,23120,25283,184.73,16839,2970,17005
BIDV,2022-04-27,23120,25068,184.54,16755,2970,16936
BIDV,2022-04-28,23100,24896,180.78,16696,2968,16850
BIDV,2022-04-29,23095,24848,181.06,16683,2967,16896
BIDV,2022-05-02,23095,24848,181.06,16683,2967,16896
BIDV,2022-05-03,23095,24848,181.06,16683,2967,16896
BIDV,2022-05-04,23110,24801,181.33,16592,2968,16868
BIDV,2022-05-05,23090,24979,182.09,16836,2966,16925
BIDV,2022-05-06,23090,24784,180.66,16545,2965,16813
BIDV,2022-05-09,23095,24770,179.91,16352,2966,16759
BIDV,2022-05-10,23090,24897,180.79,16251,2965,16787
BIDV,2022-05-11,23230,25000,182.17,16349,2983,16903
BIDV,2022-05-12,23230,24790,184.19,16169,2983,16825
BIDV,2022-05-13,23230,24638,184.35,16150,2983,16810
BIDV,2022-05-16,23230,24673,183.96,16173,2983,16817
BIDV,2022-05-17,23260,24822,183.79,16474,2987,16913
BIDV,2022-05-18,23280,24990,184.07,16504,2990,16959
BIDV,2022-05-19,23310,24953,186.33,16448,2994,16961
BIDV,2022-05-20,23315,25187,186.3,16579,2995,17084
BIDV,2022-05-23,23315,25223,186.4,16739,2995,17110
BIDV,2022-05-24,23360,25538,187.57,16696,3000,17160
BIDV,2022-05-25,23335,25418,187.56,16692,2997,17129
BIDV,2022-05-26,23350,25418,187.49,16670,2999,17135
BIDV,2022-05-27,23335,25599,187.87,16800,2997,17191
BIDV,2022-05-30,23320,25628,187.42,16942,2995,17235
BIDV,2022-05-31,23330,25575,186.39,16959,2997,17203
BIDV,2022-06-01,23340,25517,184.49,16908,2999,17159
BIDV,2022-06-02,23350,25432,183.69,16910,3000,17141
BIDV,2022-06-03,23330,25606,183.43,17098,2998,17180
BIDV,2022-06-06,23330,25553,182.44,16985,2997,17140
BIDV,2022-06-07,23330,25437,179.31,16943,2998,17101
BIDV,2022-06-08,23330,25460,178.97,16980,2997,17145
BIDV,2022-06-09,23330,25503,177.97,16903,2996,17126
BIDV,2022-06-10,23310,25301,178.15,16778,2994,17053
BIDV,2022-06-13,23350,24994,177.29,16566,2999,16982
BIDV,2022-06-14,23360,24881,177.33,16438,3000,16961
BIDV,2022-06-15,23360,24976,177.16,16304,3000,16965
BIDV,2022-06-16,23370,24796,177.74,16450,3001,16969
BIDV,2022-06-17,23370,25072,178.09,16521,3001,17028
BIDV,2022-06-20,23380,25117,177.01,16457,3002,17034
BIDV,2022-06-21,23380,25117,176.79,16436,3002,17033
BIDV,2022-06-22,23380,25040,174.87,16325,3002,16997
BIDV,2022-06-23,23395,25223,175.97,16305,3005,17007
BIDV,2022-06-24,23395,25154,177.3,16331,3005,17006
BIDV,2022-06-27,23390,25211,176.88,16377,3004,17049
BIDV,2022-06-28,23395,25295,176.38,16446,3006,17057
BIDV,2022-06-29,23400,25059,175.8,16273,3006,17012
BIDV,2022-06-30,23410,24994,175.5,16280,3008,16998
BIDV,2022-07-01,23440,25009,176.6,16121,3011,16977
BIDV,2022-07-04,23460,24968,177.03,16234,3014,16959
BIDV,2022-07-05,23500,25023,176.28,16281,3019,16992
BIDV,2022-07-06,23505,24608,177.33,16127,3019,16903
BIDV,2022-07-07,23510,24491,176.67,16185,3020,16933
BIDV,2022-07-08,23490,24379,176.89,16207,3017,16926
BIDV,2022-07-11,23490,24307,175.12,16176,3017,16931
BIDV,2022-07-12,23520,24065,174.73,15990,3020,16884
BIDV,2022-07-13,23530,24120,175.33,16071,3022,16891
BIDV,2022-07-14,23555,24136,172.94,16117,3025,16996
BIDV,2022-07-15,23590,24124,173.7,16031,3029,16962
BIDV,2022-07-18,23580,24278,174.23,16196,3028,17017
BIDV,2022-07-19,23555,24605,174.71,16388,3025,17089
BIDV,2022-07-20,23570,24618,174.13,16434,3027,17092
BIDV,2022-07-21,23545,24530,173.83,16395,3024,17071
BIDV,2022-07-22,23550,24497,174.45,16434,3024,17099
BIDV,2022-07-25,23530,24488,176.25,16418,3022,17127
BIDV,2022-07-26,23490,24501,175.54,16509,3017,17117
BIDV,2022-07-27,23515,24314,175.28,16450,3020,17086
BIDV,2022-07-28,23510,24551,177.41,16646,3019,17191
BIDV,2022-07-29,23490,24564,180.73,16656,3017,17212
BIDV,2022-08-01,23495,24507,181.11,16586,3017,17194
BIDV,2022-08-02,23490,24556,183.38,16499,3017,17202
BIDV,2022-08-03,23510,24412,180.27,16466,3019,17197
BIDV,2022-08-04,23555,24430,179.31,16564,3025,17229
BIDV,2022-08-05,23540,24577,180.44,16567,3023,17273
BIDV,2022-08-08,23530,24449,177.45,16484,3022,17196
BIDV,2022-08-09,23535,24507,177.99,16559,3022,17232
BIDV,2022-08-10,23525,24514,177.94,16540,3022,17229
BIDV,2022-08-11,23535,24793,181.28,16863,3024,17356
BIDV,2022-08-12,23535,24788,180.57,16928,3029,17355
