bank,date,USD,EUR,JPY,AUD,HKD,SGD
MBB,2022-03-16,23020.0,25876.0,198.31,16962.0,2996.0,17169.0
MBB,2022-03-17,23023.0,26075.0,198.09,17256.0,2998.0,17265.0
MBB,2022-03-18,23015.0,26008.0,197.15,17314.0,2998.0,17229.0
MBB,2022-03-21,23010.0,25947.0,197.07,17329.0,2993.0,17243.0
MBB,2022-03-22,23005.0,25939.0,194.36,17376.0,2995.0,17233.0
MBB,2022-03-23,23025.0,25869.0,194.36,17521.0,2995.0,17229.0
MBB,2022-03-24,23015.0,25899.0,192.7,17563.0,2995.0,17212.0
MBB,2022-03-25,23015.0,25890.0,192.94,17553.0,2996.0,17220.0
MBB,2022-03-28,23020.0,25843.0,190.53,17482.0,2994.0,17193.0
MBB,2022-03-29,23015.0,26070.0,191.39,17533.0,2994.0,17244.0
MBB,2022-03-30,23003.0,26209.0,192.74,17558.0,2993.0,17253.0
MBB,2022-03-31,22990.0,26071.0,193.26,17515.0,2993.0,17268.0
MBB,2022-04-01,22985.0,25941.0,191.33,17485.0,2988.0,17219.0
MBB,2022-04-04,22985.0,25827.0,191.18,17637.0,2988.0,17212.0
MBB,2022-04-05,23020.0,25701.0,190.77,17759.0,2992.0,17210.0
MBB,2022-04-06,23020.0,25711.0,189.89,17620.0,2993.0,17175.0
MBB,2022-04-07,23005.0,25640.0,189.91,17479.0,2990.0,17193.0
MBB,2022-04-08,23005.0,25573.0,188.93,17449.0,2989.0,17155.0
MBB,2022-04-11,23008.0,25593.0,187.2,17348.0,2989.0,17137.0
MBB,2022-04-12,23035.0,25590.0,188.2,17515.0,2989.0,17168.0
MBB,2022-04-13,23035.0,25662.0,187.73,17427.0,2993.0,17151.0
MBB,2022-04-14,23040.0,25464.0,187.24,17360.0,2993.0,17234.0
MBB,2022-04-15,23045.0,25464.0,186.27,17334.0,2993.0,17256.0
MBB,2022-04-18,23075.0,25481.0,186.01,17259.0,2993.0,17224.0
MBB,2022-04-19,23100.0,25485.0,183.66,17319.0,3001.0,17157.0
MBB,2022-04-20,23115.0,25622.0,185.01,17515.0,3000.0,17221.0
MBB,2022-04-21,23115.0,25627.0,183.76,17343.0,3001.0,17223.0
MBB,2022-04-22,23115.0,25489.0,183.33,17046.0,3001.0,17127.0
MBB,2022-04-25,23115.0,25366.0,185.4,16828.0,3000.0,17097.0
MBB,2022-04-26,23130.0,25226.0,185.43,16828.0,3001.0,17061.0
MBB,2022-04-27,23116.0,24960.0,184.03,16797.0,3001.0,16999.0
MBB,2022-04-28,23100.0,24874.0,180.73,16632.0,2999.0,16901.0
MBB,2022-04-29,23100.0,24928.0,182.74,16695.0,2998.0,17032.0
MBB,2022-05-02,23110.0,24875.0,181.89,16624.0,2999.0,16967.0
MBB,2022-05-03,23110.0,24873.0,182.34,16706.0,2999.0,16998.0
MBB,2022-05-04,23110.0,24937.0,182.33,16806.0,2999.0,16985.0
MBB,2022-05-05,23095.0,24881.0,181.48,16664.0,2998.0,16939.0
MBB,2022-05-06,23100.0,25009.0,181.43,16696.0,2997.0,16974.0
MBB,2022-05-09,23100.0,25016.0,181.79,16484.0,2997.0,16927.0
MBB,2022-05-10,23088.0,24879.0,181.77,16286.0,2996.0,16890.0
MBB,2022-05-11,23210.0,25059.0,182.68,16481.0,3011.0,17031.0
MBB,2022-05-12,23235.0,24712.0,185.61,16245.0,3014.0,16941.0
MBB,2022-05-13,23235.0,24720.0,184.1,16388.0,3014.0,16973.0
MBB,2022-05-16,23235.0,24746.0,184.26,16410.0,3014.0,16936.0
MBB,2022-05-17,23266.0,25115.0,184.25,16612.0,3015.0,17067.0
MBB,2022-05-18,23275.0,25043.0,185.7,16578.0,3018.0,17065.0
MBB,2022-05-19,23315.0,25248.0,187.29,16747.0,3023.0,17183.0
MBB,2022-05-20,23315.0,25178.0,186.76,16690.0,3025.0,17174.0
MBB,2022-05-23,23316.0,25466.0,186.74,16868.0,3025.0,17276.0
MBB,2022-05-24,23370.0,25681.0,189.22,16858.0,3031.0,17313.0
MBB,2022-05-25,23350.0,25473.0,187.83,16788.0,3032.0,17253.0
MBB,2022-05-26,23350.0,25627.0,187.72,16838.0,3029.0,17270.0
MBB,2022-05-27,23355.0,25560.0,188.09,16971.0,3030.0,17334.0
MBB,2022-05-30,23330.0,25683.0,187.02,17058.0,3028.0,17340.0
MBB,2022-05-31,23335.0,25625.0,185.57,17059.0,3026.0,17305.0
MBB,2022-06-01,23350.0,25422.0,184.16,17019.0,3029.0,17275.0
MBB,2022-06-02,23345.0,25621.0,184.13,17208.0,3029.0,17284.0
MBB,2022-06-03,23330.0,25620.0,182.65,17103.0,3029.0,17243.0
MBB,2022-06-06,23333.0,25522.0,181.7,17080.0,3028.0,17240.0
MBB,2022-06-07,23330.0,25525.0,180.28,17125.0,3028.0,17242.0
MBB,2022-06-08,23335.0,25590.0,178.46,17121.0,3028.0,17242.0
MBB,2022-06-09,23315.0,25457.0,178.47,16886.0,3028.0,17180.0
MBB,2022-06-10,23323.0,25113.0,178.55,16727.0,3025.0,17111.0
MBB,2022-06-13,23350.0,24930.0,178.65,16501.0,3029.0,17067.0
MBB,2022-06-14,23370.0,24911.0,177.74,16351.0,3028.0,17056.0
MBB,2022-06-15,23363.0,24912.0,178.2,16539.0,3030.0,17059.0
MBB,2022-06-16,23375.0,25238.0,181.52,16690.0,3032.0,17175.0
MBB,2022-06-17,23380.0,25037.0,177.56,16496.0,3033.0,17109.0
MBB,2022-06-20,23385.0,25198.0,177.66,16586.0,3033.0,17141.0
MBB,2022-06-21,23370.0,25191.0,176.17,16585.0,3032.0,17173.0
MBB,2022-06-22,23385.0,25332.0,176.61,16685.0,3033.0,17148.0
MBB,2022-06-23,23383.0,25131.0,178.14,16615.0,3033.0,17119.0
MBB,2022-06-24,23400.0,25262.0,177.63,16483.0,3035.0,17152.0
MBB,2022-06-27,23400.0,25403.0,177.53,16506.0,3038.0,17177.0
MBB,2022-06-28,23393.0,25197.0,176.57,16498.0,3036.0,17177.0
MBB,2022-06-29,23405.0,25067.0,176.08,16398.0,3037.0,17118.0
MBB,2022-06-30,23430.0,25066.0,176.89,16483.0,3037.0,17119.0
MBB,2022-07-01,23450.0,24996.0,177.9,16222.0,3043.0,17055.0
MBB,2022-07-04,23485.0,25051.0,177.57,16394.0,3045.0,17127.0
MBB,2022-07-05,23505.0,24655.0,177.57,16194.0,3049.0,17002.0
MBB,2022-07-06,23515.0,24497.0,177.58,16202.0,3050.0,17036.0
MBB,2022-07-07,23508.0,24496.0,177.57,16356.0,3051.0,17062.0
MBB,2022-07-08,23493.0,24508.0,177.06,16385.0,3049.0,17097.0
MBB,2022-07-11,23490.0,24250.0,175.2,16141.0,3049.0,17005.0
MBB,2022-07-12,23530.0,24290.0,176.77,16244.0,3052.0,17013.0
MBB,2022-07-13,23535.0,24334.0,176.09,16255.0,3052.0,17063.0
MBB,2022-07-14,23560.0,24229.0,174.17,16148.0,3052.0,17069.0
MBB,2022-07-15,23585.0,24367.0,174.67,16313.0,3057.0,17138.0
MBB,2022-07-18,23580.0,24587.0,175.28,16427.0,3060.0,17176.0
MBB,2022-07-19,23570.0,24725.0,175.28,16555.0,3059.0,17207.0
MBB,2022-07-20,23565.0,24665.0,175.31,16547.0,3056.0,17208.0
MBB,2022-07-21,23550.0,24590.0,175.27,16521.0,3056.0,17212.0
MBB,2022-07-22,23547.0,24668.0,177.48,16855.0,3054.0,17274.0
MBB,2022-07-25,23533.0,24612.0,176.7,16854.0,3052.0,17281.0
MBB,2022-07-26,23510.0,24337.0,176.37,16545.0,3027.0,17199.0
MBB,2022-07-27,23513.0,24367.0,175.91,16536.0,3039.0,17226.0
MBB,2022-07-28,23510.0,24459.0,179.05,16626.0,3037.0,17298.0
MBB,2022-07-29,23495.0,24560.0,180.45,16640.0,3037.0,17266.0
MBB,2022-08-01,23498.0,24713.0,182.68,16780.0,3035.0,17366.0
MBB,2022-08-02,23500.0,24573.0,181.96,16596.0,3036.0,17313.0
MBB,2022-08-03,23530.0,24480.0,180.0,16577.0,3040.0,17325.0
MBB,2022-08-04,23555.0,24659.0,180.84,16755.0,3042.0,17372.0
MBB,2022-08-05,23545.0,24476.0,178.2,16581.0,3042.0,17307.0
MBB,2022-08-08,23540.0,24621.0,179.11,16785.0,3041.0,17356.0
MBB,2022-08-09,23540.0,24682.0,178.66,16740.0,3041.0,23790.0
MBB,2022-08-10,23531.0,24868.0,181.68,17042.0,3040.0,17483.0
MBB,2022-08-11,23540.0,24845.0,180.74,17047.0,3046.0,17463.0
MBB,2022-08-12,23540.0,24845.0,180.74,17047.0,3046.0,17463.0
